Date,Open,High,Low,Close,Volume,Adjusted Close
4/1/2000,6930.2,6930.2,6662.9,6662.9,0,0
5/1/2000,6665.9,6665.9,6500.4,6535.9,0,0
6/1/2000,6535.9,6547.3,6424.4,6447.2,0,0
7/1/2000,6477.2,6532.4,6438.8,6504.8,0,0
10/1/2000,6504.8,6634.2,6504.8,6607.7,0,0
11/1/2000,6607.7,6638.1,6510.8,6518.9,0,0
12/1/2000,6518.9,6532.8,6470.3,6532.8,0,0
13/01/2000,6532.8,6596.5,6509.4,6531.5,0,0
14/01/2000,6531.5,6666.8,6531.5,6658.2,0,0
17/01/2000,6658.2,6694.3,6638.3,6669.5,0,0
18/01/2000,6669.5,6695.9,6491.5,6504.6,0,0
19/01/2000,6504.6,6505.9,6434.4,6445.4,0,0
20/01/2000,6445.4,6492.7,6328.3,6348.7,0,0
21/01/2000,6348.7,6374.7,6287.1,6346.3,0,0
24/01/2000,6346.3,6480.4,6346.3,6379.8,0,0
25/01/2000,6379.8,6379.8,6262.9,6274.1,0,0
26/01/2000,6274.1,6380,6270.4,6375.6,0,0
27/01/2000,6375.6,6451.6,6375.6,6441,0,0
28/01/2000,6441,6475.1,6354.8,6375.6,0,0
31/01/2000,6375.6,6375.6,6246.8,6268.5,0,0
1/2/2000,6268.5,6367.1,6231.9,6290.9,0,0
2/2/2000,6290.9,6345.2,6241.6,6302.8,0,0
3/2/2000,6302.8,6393.5,6251.6,6324.3,0,0
4/2/2000,6324.3,6364.9,6171.2,6185,0,0
7/2/2000,6185,6232.1,6100.7,6118.6,0,0
8/2/2000,6118.6,6295.7,6117.3,6285.8,0,0
9/2/2000,6285.8,6450.9,6271.5,6315.4,0,0
10/2/2000,6315.4,6320,6199.8,6279.8,0,0
11/2/2000,6279.8,6325.7,6127.4,6193.3,0,0
14/02/2000,6193.3,6197.5,6027.5,6068.6,0,0
15/02/2000,6068.6,6167.5,5972.7,6005.2,0,0
16/02/2000,6005.2,6147.4,6002.5,6147.4,0,0
17/02/2000,6147.4,6262.2,6102.9,6209.3,0,0
18/02/2000,6209.3,6264.1,6151.4,6165,0,0
21/02/2000,6165,6193.6,6029.9,6081.6,0,0
22/02/2000,6081.6,6172.8,6002.7,6014.7,0,0
23/02/2000,6014.7,6167.3,6014.7,6144.1,0,0
24/02/2000,6144.1,6288.8,6070.9,6086.7,0,0
25/02/2000,6086.7,6198,6086.4,6198,0,0
28/02/2000,6198,6271.1,6054.1,6099.6,0,0
29/02/2000,6099.6,6245.5,6099.6,6232.6,0,0
1/3/2000,6232.6,6387.3,6232.6,6364.9,0,0
2/3/2000,6364.9,6436.5,6324.2,6432.1,0,0
3/3/2000,6432.1,6506.3,6403,6487.5,0,0
6/3/2000,6487.5,6593.3,6457,6567.8,0,0
7/3/2000,6567.8,6568.3,6465.5,6466.5,0,0
8/3/2000,6466.5,6479.7,6387.2,6411.2,0,0
9/3/2000,6411.2,6544.2,6411.2,6532.1,0,0
10/3/2000,6532.1,6642.5,6532.1,6568.7,0,0
13/03/2000,6380.6,6566.6,6380.6,6466.9,0,0
14/03/2000,6466.9,6539.7,6457.1,6487.1,0,0
15/03/2000,6487.1,6487.1,6396.1,6447,0,0
16/03/2000,6447,6618.2,6447,6557.2,0,0
17/03/2000,6557.2,6713.1,6504.1,6558,0,0
20/03/2000,6558,6653.4,6523.3,6626.5,0,0
21/03/2000,6624.5,6630.6,6543.4,6617.9,0,0
22/03/2000,6617.9,6692.3,6551.7,6609.6,0,0
23/03/2000,6609.6,6617.8,6538.7,6594.6,0,0
24/03/2000,6594.6,6755.1,6594.6,6738.5,0,0
27/03/2000,6738.5,6770.4,6654.4,6687.2,0,0
28/03/2000,6687.2,6734.9,6623.7,6650.1,0,0
29/03/2000,6650.4,6657.3,6570.3,6598.8,0,0
30/03/2000,6598.8,6598.8,6418.5,6445.2,0,0
31/03/2000,6445.2,6557.4,6385.8,6540.2,0,0
3/4/2000,6540.2,6540.2,6437.9,6462.1,0,0
4/4/2000,6462.1,6531.3,6415.5,6427,0,0
5/4/2000,6427,6428.5,6283.2,6379.3,0,0
6/4/2000,6379.3,6464.9,6353.8,6451.1,0,0
7/4/2000,6451.1,6586.3,6451.1,6569.9,0,0
